GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/219164	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04374.1	1.10E-189	330/371(88.95)	669	UDP-xylose synthase [Albuca bracteata]	XM_020418201.1	0	683/744(91.80)	1.04E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 6-like (LOC109848606), mRNA"	sp|Q9SN95|UXS5_ARATH	1.70E-173	297/353(84.14)	610	UDP-glucuronic acid decarboxylase 5 OS=Arabidopsis thaliana GN=UXS5 PE=2 SV=1	AXS
HJ_1-10k_transcript/273974	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	ONK60118.1	2.60E-170	285/300(95.00)	604	uncharacterized protein A4U43_C08F14510 [Asparagus officinalis]	XM_020421333.1	0	802/904(88.72)	1.11E+03	"PREDICTED: Asparagus officinalis UDP-D-apiose/UDP-D-xylose synthase 2-like (LOC109851273), mRNA"	sp|Q9SGE0|AXS2_ARATH	3.70E-165	271/299(90.64)	582	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/192570	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04375.1	4.50E-208	373/438(85.16)	730	UDP-xylose synthase [Albuca bracteata]	KT757273.1	0	1141/1343(84.96)	1.33E+03	"Ornithogalum longebracteatum UDP-xylose synthase (UXS2) mRNA, complete cds"	sp|Q9LZI2|UXS2_ARATH	5.50E-186	336/448(75.00)	652	UDP-glucuronic acid decarboxylase 2 OS=Arabidopsis thaliana GN=UXS2 PE=1 SV=1	AXS
HJ_1-10k_transcript/70702	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	9.90E-40	81/91(89.01)	171	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	KT757278.1	6.00E-146	416/479(86.85)	5.29E+02	"Ornithogalum longebracteatum UDP-D-apiose/UDP-D-xylose synthase (UAXS1) mRNA, complete cds"	sp|Q9SGE0|AXS2_ARATH	5.40E-34	69/90(76.67)	147	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/208005	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	2.30E-206	360/409(88.02)	7.24E+02	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	1094/1274(85.87)	1.32E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	1.10E-177	316/412(76.70)	624	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/257150	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	6.90E-209	347/374(92.78)	732	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	XM_020421333.1	0	1002/1151(87.05)	1.28E+03	"PREDICTED: Asparagus officinalis UDP-D-apiose/UDP-D-xylose synthase 2-like (LOC109851273), mRNA"	sp|Q9SGE0|AXS2_ARATH	1.40E-202	332/373(89.01)	706	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/322755	--	--	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	[GM]	--	KAG5515665.1	2.00E-79	146/155(94.19)	301	hypothetical protein RHGRI_036641 [Rhododendron griersonianum]	XM_020421333.1	2.00E-179	437/483(90.48)	6.38E+02	"PREDICTED: Asparagus officinalis UDP-D-apiose/UDP-D-xylose synthase 2-like (LOC109851273), mRNA"	sp|Q9ZUY6|AXS1_ARATH	7.90E-77	138/154(89.61)	288	UDP-D-apiose/UDP-D-xylose synthase 1 OS=Arabidopsis thaliana GN=AXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/227409	2	GO:0048040: UDP-glucuronate decarboxylase activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	1.90E-173	310/382(81.15)	6.15E+02	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	KT757278.1	0	724/841(86.09)	8.94E+02	"Ornithogalum longebracteatum UDP-D-apiose/UDP-D-xylose synthase (UAXS1) mRNA, complete cds"	sp|Q9SGE0|AXS2_ARATH	2.70E-168	298/386(77.20)	593	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/176846	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	1.00E-136	246/289(85.12)	493	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	746/877(85.06)	8.59E+02	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	2.80E-111	209/290(72.07)	404	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/209639	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	3.00E-217	362/389(93.06)	760	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	KT757279.1	0	1016/1167(87.06)	1.31E+03	"Ornithogalum longebracteatum UDP-D-apiose/UDP-D-xylose synthase (UAXS2) mRNA, complete cds"	sp|Q9SGE0|AXS2_ARATH	7.60E-209	341/388(87.89)	728	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/249198	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04375.1	8.40E-176	298/312(95.51)	622	UDP-xylose synthase [Albuca bracteata]	KT757273.1	0	916/1031(88.85)	1.27E+03	"Ornithogalum longebracteatum UDP-xylose synthase (UXS2) mRNA, complete cds"	sp|Q9LZI2|UXS2_ARATH	8.30E-172	289/307(94.14)	604	UDP-glucuronic acid decarboxylase 2 OS=Arabidopsis thaliana GN=UXS2 PE=1 SV=1	AXS
HJ_1-10k_transcript/282413	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04376.1	4.40E-172	292/300(97.33)	610	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	833/939(88.71)	1.14E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	8.50E-164	274/302(90.73)	577	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/220641	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04374.1	3.30E-194	331/348(95.11)	684	UDP-xylose synthase [Albuca bracteata]	XM_020418201.1	0	881/970(90.82)	1.30E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 6-like (LOC109848606), mRNA"	sp|Q9SN95|UXS5_ARATH	1.40E-177	297/330(90.00)	624	UDP-glucuronic acid decarboxylase 5 OS=Arabidopsis thaliana GN=UXS5 PE=2 SV=1	AXS
HJ_1-10k_transcript/249964	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	1.50E-217	363/390(93.08)	761	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	KT757279.1	0	1016/1167(87.06)	1.31E+03	"Ornithogalum longebracteatum UDP-D-apiose/UDP-D-xylose synthase (UAXS2) mRNA, complete cds"	sp|Q9SGE0|AXS2_ARATH	8.20E-209	341/388(87.89)	727	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/203759	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04375.1	2.00E-208	375/443(84.65)	731	UDP-xylose synthase [Albuca bracteata]	KT757273.1	0	939/1053(89.17)	1.31E+03	"Ornithogalum longebracteatum UDP-xylose synthase (UXS2) mRNA, complete cds"	sp|Q9LZI2|UXS2_ARATH	1.20E-185	332/448(74.11)	651	UDP-glucuronic acid decarboxylase 2 OS=Arabidopsis thaliana GN=UXS2 PE=1 SV=1	AXS
HJ_1-10k_transcript/233584	--	--	--	--	--	--	XP_020248093.1	3.40E-10	32/39(82.05)	72	beta-galactosidase 5-like isoform X3 [Asparagus officinalis]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	1.20E-08	27/39(69.23)	62	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/66914	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020259718.1	2.40E-41	86/105(81.90)	177	beta-galactosidase 6 isoform X1 [Asparagus officinalis] 	--	--	--	--	--	sp|Q10NX8|BGAL6_ORYSJ	4.40E-31	66/106(62.26)	138	Beta-galactosidase 6 OS=Oryza sativa subsp. japonica GN=Os03g0255100 PE=1 SV=2	Bgal
HJ_1-10k_transcript/59579	3	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0005576: extracellular region (cellular_component); GO:0008152: metabolic process (biological_process);"	--	--	[G]	Carbohydrate transport and metabolism 	XP_009407297.1	0.00E+00	514/787(65.31)	1081	PREDICTED: beta-galactosidase 2 isoform X1 [Musa acuminata subsp. malaccensis] 	XM_020414040.1	0	945/1159(81.54)	9.42E+02	"PREDICTED: Asparagus officinalis beta-galactosidase-like (LOC109844871), transcript variant X1, mRNA"	sp|P45582|BGAL_ASPOF	2.80E-307	498/774(64.34)	1055	Beta-galactosidase OS=Asparagus officinalis PE=2 SV=1	Bgal
HJ_1-10k_transcript/97551	4	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020250721.1	0.00E+00	567/633(89.57)	1243	beta-galactosidase isoform X2 [Asparagus officinalis] 	XM_020395132.1	0	1742/2040(85.39)	2.10E+03	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109828085), transcript variant X2, mRNA"	sp|P45582|BGAL_ASPOF	0.00E+00	566/638(88.71)	1236	Beta-galactosidase OS=Asparagus officinalis PE=2 SV=1	Bgal
HJ_1-10k_transcript/157694	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	2.10E-297	485/592(81.93)	1027	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	0	1482/1741(85.12)	1.78E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q0INM3|BGA15_ORYSJ	1.40E-230	379/583(65.01)	800	Beta-galactosidase 15 OS=Oryza sativa subsp. japonica GN=Os12g0429200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/75417	--	--	"K12309|GLB1, ELNR1"	http://www.genome.jp/dbget-bin/www_bget?ko:K12309	[G]	Carbohydrate transport and metabolism 	XP_020242597.1	2.20E-302	512/618(82.85)	1044	beta-galactosidase 8 [Asparagus officinalis]	KY531674.1	0	1628/1893(86.00)	2.02E+03	"Yucca filamentosa AT5G27395 mRNA, partial sequence"	sp|Q0DGD7|BGAL8_ORYSJ	1.30E-250	409/640(63.91)	867	Beta-galactosidase 8 OS=Oryza sativa subsp. japonica GN=Os05g0539400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/178175	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020259718.1	2.00E-132	212/232(91.38)	479	beta-galactosidase 6 isoform X1 [Asparagus officinalis] 	XM_020404129.1	0	600/690(86.96)	7.74E+02	"PREDICTED: Asparagus officinalis beta-galactosidase 6 (LOC109836268), transcript variant X1, mRNA"	sp|Q9SCV4|BGAL8_ARATH	2.10E-122	193/232(83.19)	441	Beta-galactosidase 8 OS=Arabidopsis thaliana GN=BGAL8 PE=2 SV=2	Bgal
HJ_1-10k_transcript/47363	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020243771.1	0.00E+00	495/563(87.92)	1081	beta-galactosidase 2-like [Asparagus officinalis] 	XM_020388183.1	0	1533/1789(85.69)	1.87E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 2-like (LOC109822022), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	8.00E-297	463/591(78.34)	1021	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/86194	--	--	"K12309|GLB1, ELNR1"	http://www.genome.jp/dbget-bin/www_bget?ko:K12309	--	--	XP_020242597.1	1.30E-09	39/91(42.86)	71	beta-galactosidase 8 [Asparagus officinalis]	XM_020391561.1	9.00E-10	60/69(86.96)	7.68E+01	"PREDICTED: Asparagus officinalis peroxisomal fatty acid beta-oxidation multifunctional protein (LOC109824930), mRNA"	sp|Q0DGD7|BGAL8_ORYSJ	4.40E-06	32/93(34.41)	55	Beta-galactosidase 8 OS=Oryza sativa subsp. japonica GN=Os05g0539400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/310477	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020261540.1	9.00E-10	31/39(79.49)	7.00E+01	beta-galactosidase 5-like [Asparagus officinalis] 	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	1.00E-09	28/39(71.79)	65	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/129048	--	--	--	--	[G]	Carbohydrate transport and metabolism 	KAF2567603.1	6.30E-13	66/191(34.55)	82	hypothetical protein F2Q68_00024992 [Brassica cretica]	CP023126.1	2.00E-10	48/51(94.12)	7.87E+01	Lupinus angustifolius cultivar Tanjil chromosome LG-14	sp|Q9SCV4|BGAL8_ARATH	5.30E-08	31/47(65.96)	61	Beta-galactosidase 8 OS=Arabidopsis thaliana GN=BGAL8 PE=2 SV=2	Bgal
HJ_1-10k_transcript/32950	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	0.00E+00	699/821(85.14)	1.53E+03	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	2230/2623(85.02)	2.64E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	0.00E+00	645/816(79.04)	1426	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/166885	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	--	--	[G]	Carbohydrate transport and metabolism 	BAF31234.1	1.10E-45	92/138(66.67)	191	beta-D-galactosidase [Persea americana]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	2.60E-43	83/132(62.88)	178	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/137426	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020261540.1	4.80E-276	446/537(83.05)	956	beta-galactosidase 5-like [Asparagus officinalis] 	XM_020405951.1	0	1429/1717(83.23)	1.55E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	5.50E-244	391/532(73.50)	845	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/253406	5	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005576: extracellular region (cellular_component); GO:0005618: cell wall (cellular_component); GO:0005773: vacuole (cellular_component); GO:0008152: metabolic process (biological_process);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020269629.1	5.20E-127	232/303(76.57)	460	beta-galactosidase-like isoform X1 [Asparagus officinalis]	XM_020414041.1	0	682/823(82.87)	7.37E+02	"PREDICTED: Asparagus officinalis beta-galactosidase-like (LOC109844871), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	6.20E-108	186/323(57.59)	392	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/72119	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	0.00E+00	699/823(84.93)	1526	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	2174/2580(84.26)	2.49E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	0.00E+00	646/824(78.40)	1422	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/164006	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020243771.1	0.00E+00	549/637(86.19)	1210	beta-galactosidase 2-like [Asparagus officinalis] 	XM_039261400.1	0	1519/1931(78.66)	1.27E+03	"PREDICTED: Dioscorea cayenensis subsp. rotundata beta-galactosidase 2 (LOC120253115), mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	0.00E+00	483/636(75.94)	1089	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/50747	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	0.00E+00	740/864(85.65)	1597	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391490.1	0	2264/2622(86.35)	2.85E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X2, mRNA"	sp|Q0INM3|BGA15_ORYSJ	0.00E+00	582/855(68.07)	1273	Beta-galactosidase 15 OS=Oryza sativa subsp. japonica GN=Os12g0429200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/225371	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020243771.1	8.30E-211	340/397(85.64)	739	beta-galactosidase 2-like [Asparagus officinalis] 	XM_020388183.1	0	1193/1437(83.02)	1.30E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 2-like (LOC109822022), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	8.30E-191	301/398(75.63)	667	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
